Título,Precios
Terra de Mareas Loureiro,"17,00 €"
Arbocala,"10,00 €"
Baraka,"24,00 €"
Mar de Frades Brut,"24,00 €"
Viñarroyo Verdejo,"8,00 €"
Arroyo Joven,"10,00 €"
Adega Vella Mencía,"11,00 €"
Adega Vella Godello,"13,00 €"
Bouza do Rei Albariño,"12,00 €"
Viña Carpazal Selección Blanco,"16,00 €"
Viña Carpazal Selección Tinto,"16,00 €"
Bajo 0 Icewine,"79,00 €"
Ramón Bilbao Rosado,"12,00 €"
Flor de Taverners,"12,00 €"
Entrepeñas,"12,00 €"
Mitarte Crianza,"10,00 €"
Terra de Mareas Caíño,"17,00 €"
Valdovinos Cava,"12,00 €"
Valdovinos Dulce,"15,00 €"
Valdovinos Chardonnay,"9,00 €"
Palacio de Villachica Toro,"18,00 €"
Descalificado,"14,00 €"
Arroyo Roble,"12,00 €"
1904 Mater Granite,"78,00 €"
