Título,Precios
Terra de Mareas Loureiro,"17,00 €"
Arbocala,"10,00 €"
Baraka,"24,00 €"
Mar de Frades Brut,"24,00 €"
Viñarroyo Verdejo,"8,00 €"
Arroyo Joven,"10,00 €"
Adega Vella Mencía,"11,00 €"
Adega Vella Godello,"13,00 €"
Bouza do Rei Albariño,"12,00 €"
Viña Carpazal Selección Blanco,"16,00 €"
Viña Carpazal Selección Tinto,"16,00 €"
Bajo 0 Icewine,"79,00 €"
Ramón Bilbao Rosado,"12,00 €"
Flor de Taverners,"12,00 €"
Entrepeñas,"12,00 €"
Mitarte Crianza,"10,00 €"
Terra de Mareas Caíño,"17,00 €"
Valdovinos Cava,"12,00 €"
Valdovinos Dulce,"15,00 €"
Valdovinos Chardonnay,"9,00 €"
Palacio de Villachica Toro,"18,00 €"
Descalificado,"14,00 €"
Arroyo Roble,"12,00 €"
1904 Mater Granite,"78,00 €"
Et Suseia,"23,00 €"
Viña Carpazal Tinto,"10,00 €"
Viña Carpazal Blanco,"10,00 €"
Finca Lalinde Rosado,"27,00 €"
Mitarte Excéntrico,"17,00 €"
Espirbel,"10,00 €"
Barallocas vino tinto gallego PdH Pazo de Hermo,"16,00 €"
Carlos Villanueva Godello,"16,00 €"
Titiana Brut Rosé Pinot Noir,"20,00 €"
José Luis Aristegui Xeo,"16,00 €"
Valdovinos Bresque Sauvignon Blanc,"10,00 €"
Palacio de Villachica Dehesa de San Andrés Vendimia Seleccionada,"22,00 €"
Vizar Prestigio DOP Dehesa Peñalba,"12,00 €"
Viñarroyo Rosado,"8,00 €"
Arroyo Crianza,"14,00 €"
Quitapesares,"50,00 €"
Límite Norte Ramón Bilbao,"27,00 €"
La Secreta,"12,00 €"
El Marido de mi amiga Semidulce,"8,00 €"
Mónica Albor Coupage Tinto,"17,00 €"
S’ Naranja,"16,00 €"
Carlos Villanueva 1961,"16,00 €"
Tinto Iturria 19,"17,00 €"
Mimosa,"26,00 €"
Valdovinos Berdá,"16,00 €"
Vizar Selección Especial Vino de Pago DOP Dehesa Peñalba,"20,00 €"
41N r-OSADO,"10,00 €"
Mar de Frades,"18,00 €"
Magnum Arroyo Crianza,"30,00 €"
Cubanegra,"17,00 €"
Tiro al Blanco Castes Tintas,"15,00 €"
Capellanía,"86,00 €"
Château Cousteau Cadillac,"20,00 €"
Valdosan,"26,00 €"
Raimat Reserva Lo Fred de Ponent,"15,00 €"
Silius Ferro,"18,00 €"
Finca La Capitana,"21,00 €"
Lar de Maia 8 Rosado,"15,00 €"
Vizar Syrah Vino de Pago DOP Dehesa Peñalba,"32,00 €"
Cruz de Alba Crianza,"25,00 €"
Finca Valiñas,"36,00 €"
Tatos,"17,00 €"
Mónica Albor Treixadura,"15,00 €"
La viña de Segundo,"12,00 €"
Anna de Codorníu Blanc de Blancs Reserva,"15,00 €"
Silius Bucce,"22,00 €"
José Luis Aristegui Godello,"14,00 €"
Altos de Torona Albariño,"16,00 €"
Palacio de Villachica Rosé,"10,00 €"
Vizar Tempranillo,"8,00 €"
Cruz de Alba Roble,"14,00 €"
Mitarte Mazuelo,"17,00 €"
Château Dereszla Aszú 5 Puttonyos 2019,"40,00 €"
Gerard Bertrand Gris Blanc,"16,00 €"
Mónica Albor Coupage Blanco,"15,00 €"
Ars Collecta Blanc de Noirs,"26,00 €"
Quinta Toucedo Pelouro,"15,00 €"
Silius VOS,"15,00 €"
José Luis Aristegui O Barquiño,"18,00 €"
Altos de Torona Godello,"18,00 €"
Vizar Barrica,"10,00 €"
Finca los Hoyales,"75,00 €"
SYC Tinto,"37,00 €"
Románico,"14,00 €"
Ponte da Boga Godello G,"14,00 €"
Viuda Negra Vemdimia Tardía,"40,00 €"
Golpe a Golpe Brut Nature,"24,00 €"
Rosado a Rosado de Golpe a Golpe,"14,00 €"
Mauro Estévez,"16,00 €"
Penafurada,"15,00 €"
José Luis Aristegui A Veiguiña,"18,00 €"
Altos de Torona Caíño,"22,00 €"
Lar de Maia 7 Autor,"35,00 €"
Buen Camino Noroeste,"12,00 €"
Marqués de Arviza Selección Especial,"14,00 €"
Alabaster,"200,00 €"
Ponte da Boga Albariño,"16,00 €"
Alambre Moscatel de Setúbal,"15,00 €"
Côte des Roses Rosé,"20,00 €"
Cuñas Davia,"16,00 €"
Golpe a Golpe Brut Rosé,"20,00 €"
Raspon,"25,00 €"
Lar de Maia 5 Autor,"16,00 €"
Buen Camino,"16,00 €"
Marqués de Arviza Alma,"24,00 €"
Tiro al Blanco Castes Blancas,"15,00 €"
Cillar Rosado de Silos,"10,00 €"
Almírez,"24,00 €"
Capricho de Godello,"24,00 €"
Alambre Moscatel Roxo de Setúbal,"24,00 €"
Champagne Moët Impérial,"59,00 €"
Vionta Albariño,"16,00 €"
Papeiros e Rabudos,"10,00 €"
Terra de Tardor,"9,00 €"
Garagewine Brujidera,"16,00 €"
Guademeya,"29,00 €"
Termon,"52,00 €"
Tiro al Blanco Godello,"15,00 €"
Domimio del Pidio Rosado,"24,00 €"
Victorino,"54,00 €"
Ponte da Boga Blanco Lexítimo,"24,00 €"
Dona Ermelinda Moscatel de Setúbal,"20,00 €"
Veuve Clicquot Yellow Label,"65,00 €"
Vagallón Pazo de Hermo,"14,00 €"
Jelp,"18,00 €"
Garagewine 6 de 7,"18,00 €"
41N CUARENTAYUNONORTE Vendimia Seleccionada 2016,"17,00 €"
El Tractor,"35,00 €"
Corzoás Godello,"16,00 €"
Tiro al Blanco Treixadura,"15,00 €"
Marqués de Murrieta Primer Rosé,"38,00 €"
Termes Tinto,"28,00 €"
Capricho de Sousón,"26,00 €"
José Maria da Fonseca 10 Anos Superior Moscatel de Setúbal,"29,00 €"
Champagne Yannick Prevoteau Heritage Brut,"48,00 €"
Gea,"14,00 €"
Torgo,"22,00 €"
Garagewine La Forastera Shiraz,"20,00 €"
41N Boutique 20 meses,"22,00 €"
Viña María Luisa 6 Meses,"12,00 €"
Tiro al Blanco A Vía,"29,00 €"
Sierra Cantabria Rosado,"9,00 €"
Numanthia 2018,"62,00 €"
Porto de Lobos,"26,00 €"
Niepoort Ruby,"16,00 €"
Champagne Yannick Prevoteau La Perle des Treilles Brut,"56,00 €"
Marcote,"18,00 €"
Torgo & Tal,"24,00 €"
Garagewine Garnacha Tintorera,"20,00 €"
Viña María Luisa Selección Especial,"14,00 €"
