id,empresa,sector,año,ingresos_mill_eur,costes_mill_eur,beneficio_mill_eur,empleados,region
1,RetailPlus,Retail,2020,139.87,111.25,28.62,301.0,Europa
2,SoftSystems,Tecnología,2022,180.92,153.26,27.66,,América
3,SoftSystems,Tecnología,2015,183.17,145.5,37.67,212.0,Asia
4,TechNova,Tecnología,2020,141.7,116.33,25.37,212.0,América
5,InduWare,Industrial,2022,129.68,118.81,10.87,112.0,América
6,CloudNet,Tecnología,2023,,,19.87,275.0,Europa
7,GreenPower,Energía,2016,83.68,67.8,15.88,367.0,Asia
8,RetailPlus,Retail,2017,110.97,80.29,30.68,136.0,
9,GreenPower,Energía,2019,98.22,67.11,31.11,157.0,América
10,AutoMotion,Industrial,2022,,111.04,23.99,226.0,
11,SoftSystems,Tecnología,2020,95.93,47.41,48.52,248.0,Asia
12,CloudNet,Tecnología,2022,77.69,39.46,38.23,152.0,América
13,InduWare,Industrial,2020,128.35,117.95,10.4,143.0,América
14,RetailPlus,Retail,2023,127.87,90.49,37.38,263.0,Europa
15,InduWare,Industrial,2016,115.37,88.38,26.99,131.0,América
16,HealthBridge,Servicios,2015,91.21,65.82,25.39,334.0,Europa
17,SoftSystems,Tecnología,2024,133.74,121.37,12.37,275.0,América
18,GreenPower,Energía,2019,,81.37,23.23,298.0,Europa
19,CloudNet,Tecnología,2021,161.24,121.93,39.31,182.0,Europa
20,TechNova,Tecnología,2019,107.63,74.32,33.31,,América
21,InduWare,Industrial,2023,100.83,72.69,28.14,161.0,América
22,GreenPower,Energía,2023,72.15,34.02,38.13,358.0,Asia
23,TechNova,Tecnología,2021,117.12,77.08,40.04,278.0,Asia
24,RetailPlus,Retail,2024,94.2,60.59,33.61,373.0,Europa
25,SoftSystems,Tecnología,2016,118.57,72.92,45.65,40.0,Asia
26,TechNova,Tecnología,2018,152.88,122.01,30.87,226.0,América
27,HealthBridge,Servicios,2019,123.67,113.55,10.12,232.0,Asia
28,CloudNet,Tecnología,2018,134.28,89.5,44.78,208.0,Europa
29,RetailPlus,Retail,2024,,62.68,24.98,323.0,América
30,CloudNet,Tecnología,2018,133.15,108.45,24.7,291.0,Europa
31,RetailPlus,Retail,2020,123.88,84.19,39.69,193.0,
32,InduWare,Industrial,2018,106.89,80.81,26.08,132.0,América
33,GreenPower,Energía,2021,527.36,,32.61,750.0,Asia
34,HealthBridge,Servicios,2024,110.62,94.77,15.85,216.0,Asia
35,CloudNet,Tecnología,2018,106.29,84.31,21.98,,Europa
36,CloudNet,Tecnología,2019,136.16,87.3,48.86,263.0,Asia
37,SoftSystems,Tecnología,2016,130.3,101.04,29.26,96.0,América
38,TechNova,Tecnología,2020,118.94,88.34,30.6,447.0,Asia
39,AutoMotion,Industrial,2023,112.31,79.29,33.02,247.0,Europa
40,HealthBridge,Servicios,2022,73.25,31.82,41.43,310.0,Europa
41,GreenPower,Energía,2019,151.64,130.73,20.91,362.0,América
42,HealthBridge,Servicios,2015,63.93,28.06,35.87,425.0,
43,SoftSystems,Tecnología,2021,80.38,56.04,24.34,257.0,Europa
44,FoodLogix,Retail,2017,99.86,,14.49,255.0,Europa
45,EnergyCorp,Energía,2017,77.51,42.77,34.74,176.0,América
46,AutoMotion,Industrial,2022,182.0,159.83,22.17,224.0,América
47,RetailPlus,Retail,2018,152.54,134.85,17.69,268.0,América
48,AutoMotion,Industrial,2017,172.29,158.36,13.93,264.0,Asia
49,EnergyCorp,Energía,2019,130.4,92.58,37.82,151.0,Europa
50,TechNova,Tecnología,2023,67.18,31.96,35.22,273.0,Asia
51,SoftSystems,Tecnología,2018,130.02,96.56,33.46,195.0,Asia
52,TechNova,Tecnología,2021,129.29,96.36,32.93,192.0,Europa
53,EnergyCorp,Energía,2015,194.63,159.89,34.74,154.0,América
54,HealthBridge,Servicios,2024,,126.01,20.25,312.0,Asia
55,InduWare,Industrial,2024,665.36,144.55,21.79,981.0,Asia
56,RetailPlus,Retail,2016,,98.29,38.22,401.0,América
57,TechNova,Tecnología,2019,110.18,87.72,22.46,178.0,América
58,SoftSystems,Tecnología,2015,87.37,58.14,29.23,277.0,Europa
59,TechNova,Tecnología,2018,131.07,92.8,38.27,251.0,Europa
60,HealthBridge,Servicios,2020,178.14,150.79,27.35,467.0,América
61,FoodLogix,Retail,2015,145.03,123.6,21.43,164.0,Asia
62,TechNova,Tecnología,2018,139.3,111.53,27.77,307.0,Europa
63,InduWare,Industrial,2021,138.93,109.66,29.27,182.0,Asia
64,SoftSystems,Tecnología,2021,59.41,33.88,25.53,,América
65,InduWare,Industrial,2015,128.56,111.02,17.54,263.0,Asia
66,TechNova,Tecnología,2017,135.41,114.25,21.16,262.0,
67,TechNova,Tecnología,2022,122.33,103.76,18.57,278.0,América
68,RetailPlus,Retail,2018,142.43,101.6,40.83,334.0,América
69,RetailPlus,Retail,2016,64.89,44.27,20.62,291.0,Asia
70,HealthBridge,Servicios,2015,140.55,105.4,35.15,558.0,América
71,CloudNet,Tecnología,2021,142.84,101.48,41.36,326.0,América
72,RetailPlus,Retail,2020,146.06,119.21,26.85,,Europa
73,TechNova,Tecnología,2024,89.09,61.46,27.63,,Asia
74,RetailPlus,Retail,2023,123.27,70.12,53.15,100.0,Europa
75,RetailPlus,Retail,2018,147.45,133.58,13.87,,Europa
76,GreenPower,Energía,2020,163.56,,30.64,163.0,Europa
